method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,humaneval,noisy,0,0.9835,"[0.973, 0.992]",0.9835,0.0165,,251.1832,,0.5608,,0.0568,0.1087
r2v@0.2,humaneval,noisy,0,0.9655,"[0.952, 0.979]",0.9655,0.0345,,38.4084,,0.0286,,0.0568,0.1087
r2v@0.3,humaneval,noisy,0,0.9520,"[0.935, 0.967]",0.9520,0.0480,,23.9880,,0.0105,,0.0568,0.1087
r2v@0.4,humaneval,noisy,0,0.9444,"[0.926, 0.961]",0.9444,0.0556,,18.0285,,0.0060,,0.0568,0.1087
r2v@0.5,humaneval,noisy,0,0.9309,"[0.911, 0.949]",0.9309,0.0691,,13.9820,,0.0025,,0.0568,0.1087
r2v@0.6,humaneval,noisy,0,0.9249,"[0.904, 0.943]",0.9249,0.0751,,12.1426,,0.0011,,0.0568,0.1087
r2v@0.7,humaneval,noisy,0,0.9219,"[0.899, 0.941]",0.9219,0.0781,,11.2598,,0.0003,,0.0568,0.1087
r2v@0.8,humaneval,noisy,0,0.9204,"[0.898, 0.940]",0.9204,0.0796,,11.0390,,0.0001,,0.0568,0.1087
r2v@0.9,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,0.0568,0.1087
slm_only,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,,
llm_only,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,544.5946,,1.0000,,,
entropy_router,humaneval,noisy,0,0.9189,"[0.896, 0.938]",0.9189,0.0811,,10.8919,,0.0000,,,
oracle_router,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,76.2252,,0.0811,,,
r2v@0.1,humaneval,noisy,0,0.9835,"[0.973, 0.992]",,,,251.1832,,0.5608,,,
r2v@0.2,humaneval,noisy,0,0.9655,"[0.952, 0.979]",,,,38.4084,,0.0286,,,
r2v@0.3,humaneval,noisy,0,0.9520,"[0.935, 0.967]",,,,23.9880,,0.0105,,,
r2v@0.4,humaneval,noisy,0,0.9444,"[0.926, 0.961]",,,,18.0285,,0.0060,,,
r2v@0.5,humaneval,noisy,0,0.9309,"[0.911, 0.949]",,,,13.9820,,0.0025,,,
r2v@0.6,humaneval,noisy,0,0.9249,"[0.904, 0.943]",,,,12.1426,,0.0011,,,
r2v@0.7,humaneval,noisy,0,0.9219,"[0.899, 0.941]",,,,11.2598,,0.0003,,,
r2v@0.8,humaneval,noisy,0,0.9204,"[0.898, 0.940]",,,,11.0390,,0.0001,,,
r2v@0.9,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
slm_only,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
llm_only,humaneval,noisy,0,1.0000,"[1.000, 1.000]",,,,544.5946,,1.0000,,,
entropy_router,humaneval,noisy,0,0.9189,"[0.896, 0.938]",,,,10.8919,,0.0000,,,
oracle_router,humaneval,noisy,0,1.0000,"[1.000, 1.000]",,,,76.2252,,0.0811,,,
