method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,textworld,noisy,0,0.9869,"[0.977, 0.995]",0.9869,0.0131,,1007.9934,,0.6723,,0.1834,0.2696
r2v@0.2,textworld,noisy,0,0.9033,"[0.879, 0.926]",0.9033,0.0967,,727.9705,,0.3476,,0.1834,0.2696
r2v@0.3,textworld,noisy,0,0.8623,"[0.834, 0.889]",0.8623,0.1377,,586.6738,,0.2275,,0.1834,0.2696
r2v@0.4,textworld,noisy,0,0.8328,"[0.802, 0.864]",0.8328,0.1672,,503.9361,,0.1717,,0.1834,0.2696
r2v@0.5,textworld,noisy,0,0.8180,"[0.785, 0.849]",0.8180,0.1820,,439.3525,,0.1318,,0.1834,0.2696
r2v@0.6,textworld,noisy,0,0.7951,"[0.762, 0.826]",0.7951,0.2049,,387.5410,,0.1032,,0.1834,0.2696
r2v@0.7,textworld,noisy,0,0.7689,"[0.736, 0.802]",0.7689,0.2311,,341.1918,,0.0805,,0.1834,0.2696
r2v@0.8,textworld,noisy,0,0.7410,"[0.707, 0.775]",0.7410,0.2590,,300.9475,,0.0620,,0.1834,0.2696
r2v@0.9,textworld,noisy,0,0.7115,"[0.679, 0.748]",0.7115,0.2885,,256.7672,,0.0436,,0.1834,0.2696
slm_only,textworld,noisy,0,0.6311,"[0.593, 0.669]",0.6311,0.3689,,26.1459,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,1307.2951,,1.0000,,,
entropy_router,textworld,noisy,0,0.6443,"[0.608, 0.680]",0.6443,0.3557,,34.9016,,0.0036,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,520.9656,,0.3689,,,
r2v@0.1,textworld,noisy,0,0.9869,"[0.977, 0.995]",,,,1007.9934,,0.6723,,,
r2v@0.2,textworld,noisy,0,0.9033,"[0.879, 0.926]",,,,727.9705,,0.3476,,,
r2v@0.3,textworld,noisy,0,0.8623,"[0.834, 0.889]",,,,586.6738,,0.2275,,,
r2v@0.4,textworld,noisy,0,0.8328,"[0.802, 0.864]",,,,503.9361,,0.1717,,,
r2v@0.5,textworld,noisy,0,0.8180,"[0.785, 0.849]",,,,439.3525,,0.1318,,,
r2v@0.6,textworld,noisy,0,0.7951,"[0.762, 0.826]",,,,387.5410,,0.1032,,,
r2v@0.7,textworld,noisy,0,0.7689,"[0.736, 0.802]",,,,341.1918,,0.0805,,,
r2v@0.8,textworld,noisy,0,0.7410,"[0.707, 0.775]",,,,300.9475,,0.0620,,,
r2v@0.9,textworld,noisy,0,0.7115,"[0.679, 0.748]",,,,256.7672,,0.0436,,,
slm_only,textworld,noisy,0,0.6311,"[0.593, 0.669]",,,,26.1459,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,1307.2951,,1.0000,,,
entropy_router,textworld,noisy,0,0.6443,"[0.608, 0.680]",,,,34.9016,,0.0036,,,
oracle_router,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,520.9656,,0.3689,,,
