method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v@0.1,humaneval,noisy,0,0.9970,"[0.991, 1.000]",0.9910,0.0090,,178.9820,,0.7572,,0.0775,0.1111
r2v@0.2,humaneval,noisy,0,0.9279,"[0.898, 0.955]",0.9070,0.0930,,11.3483,,0.0012,,0.0775,0.1111
r2v@0.3,humaneval,noisy,0,0.9279,"[0.898, 0.955]",0.9070,0.0930,,11.2342,,0.0010,,0.0775,0.1111
r2v@0.4,humaneval,noisy,0,0.9279,"[0.898, 0.955]",0.9070,0.0930,,11.2342,,0.0010,,0.0775,0.1111
r2v@0.5,humaneval,noisy,0,0.9279,"[0.898, 0.955]",0.9070,0.0930,,11.2342,,0.0010,,0.0775,0.1111
r2v@0.6,humaneval,noisy,0,0.9279,"[0.898, 0.955]",0.9070,0.0930,,11.2342,,0.0010,,0.0775,0.1111
r2v@0.7,humaneval,noisy,0,0.9279,"[0.898, 0.955]",0.9070,0.0930,,11.2342,,0.0010,,0.0775,0.1111
r2v@0.8,humaneval,noisy,0,0.9279,"[0.898, 0.955]",0.9070,0.0930,,11.1201,,0.0008,,0.0775,0.1111
slm_only,humaneval,noisy,0,0.9189,"[0.889, 0.946]",0.9070,0.0930,,10.8919,,0.0000,,,
llm_only,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,217.8378,,1.0000,,,
entropy_router,humaneval,noisy,0,0.9339,"[0.907, 0.958]",0.9167,0.0833,,12.0901,,0.0030,,,
oracle_router,humaneval,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,36.2252,,0.0811,,,
heuristic_router,humaneval,noisy,0,0.9850,"[0.970, 0.997]",0.9535,0.0465,,51.0601,,0.1973,,,
verifier_router,humaneval,noisy,0,0.9790,"[0.961, 0.994]",0.9535,0.0465,,56.4805,,0.2516,,,
r2v@0.1,humaneval,noisy,0,0.9910,"[0.973, 1.000]",,,,169.9099,,0.6650,,,
r2v@0.1,humaneval,noisy,1,1.0000,"[1.000, 1.000]",,,,164.8611,,0.8490,,,
r2v@0.1,humaneval,noisy,2,1.0000,"[1.000, 1.000]",,,,195.7907,,0.8355,,,
r2v@0.1,humaneval,noisy,3,1.0000,"[1.000, 1.000]",,,,152.3556,,0.7122,,,
r2v@0.1,humaneval,noisy,4,1.0000,"[1.000, 1.000]",,,,209.2558,,0.7839,,,
r2v@0.1,humaneval,noisy,5,1.0000,"[1.000, 1.000]",,,,191.5091,,0.8382,,,
r2v@0.2,humaneval,noisy,0,0.9369,"[0.892, 0.982]",,,,11.4054,,0.0009,,,
r2v@0.2,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,10.7500,,0.0019,,,
r2v@0.2,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.2,humaneval,noisy,3,0.9556,"[0.889, 1.000]",,,,10.9111,,0.0052,,,
r2v@0.2,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.2,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.3,humaneval,noisy,0,0.9369,"[0.892, 0.982]",,,,11.4054,,0.0009,,,
r2v@0.3,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.3,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.3,humaneval,noisy,3,0.9556,"[0.889, 1.000]",,,,10.9111,,0.0052,,,
r2v@0.3,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.3,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.4,humaneval,noisy,0,0.9369,"[0.892, 0.982]",,,,11.4054,,0.0009,,,
r2v@0.4,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.4,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.4,humaneval,noisy,3,0.9556,"[0.889, 1.000]",,,,10.9111,,0.0052,,,
r2v@0.4,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.4,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.5,humaneval,noisy,0,0.9369,"[0.892, 0.982]",,,,11.4054,,0.0009,,,
r2v@0.5,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.5,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.5,humaneval,noisy,3,0.9556,"[0.889, 1.000]",,,,10.9111,,0.0052,,,
r2v@0.5,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.5,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.6,humaneval,noisy,0,0.9369,"[0.892, 0.982]",,,,11.4054,,0.0009,,,
r2v@0.6,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
r2v@0.6,humaneval,noisy,2,0.9070,"[0.814, 0.977]",,,,11.0930,,0.0000,,,
r2v@0.6,humaneval,noisy,3,0.9556,"[0.889, 1.000]",,,,10.9111,,0.0052,,,
r2v@0.6,humaneval,noisy,4,0.9302,"[0.860, 1.000]",,,,12.6279,,0.0000,,,
r2v@0.6,humaneval,noisy,5,0.9091,"[0.818, 0.982]",,,,11.1818,,0.0000,,,
r2v@0.7,humaneval,noisy,0,0.9369,"[0.892, 0.982]",,,,11.4054,,0.0009,,,
r2v@0.7,humaneval,noisy,1,0.9167,"[0.806, 1.000]",,,,9.6944,,0.0000,,,
